prompt_template,prompt_description,retrieval_config,retrieval_description,generation_time_sec,queries_per_second,metric_answer_precision,metric_answer_recall,metric_faithfulness,metric_citation_rate,metric_answer_correctness
basic,Basic prompt,top_3,Top 3 documents,9.696139335632324,0.515669157272267,0.17792293600151862,0.17792293600151862,0.8199334075142886,0.0,0.68
basic,Basic prompt,top_5,Top 5 documents,7.30708122253418,0.6842677462761174,0.16790642526954286,0.16790642526954286,0.8241088133140495,0.0,0.68
basic,Basic prompt,reranked_3,"Top 10, reranked, top 3 used",11.16035795211792,0.44801430397231495,0.18608680234284156,0.18608680234284156,0.7914278243255287,0.0,0.7200000000000001
instructional,Detailed instructions,top_3,Top 3 documents,21.056822538375854,0.23745273014898371,0.17792293600151862,0.17792293600151862,0.8199334075142886,0.0,0.68
instructional,Detailed instructions,top_5,Top 5 documents,17.440423727035522,0.2866902822004937,0.16790642526954286,0.16790642526954286,0.8241088133140495,0.0,0.68
instructional,Detailed instructions,reranked_3,"Top 10, reranked, top 3 used",9.644854068756104,0.5184111614707769,0.18608680234284156,0.18608680234284156,0.7914278243255287,0.0,0.7200000000000001
extractive,Extract answer,top_3,Top 3 documents,11.57867956161499,0.4318281694724266,0.17792293600151862,0.17792293600151862,0.8199334075142886,0.0,0.68
extractive,Extract answer,top_5,Top 5 documents,10.131749153137207,0.49349820296841773,0.16790642526954286,0.16790642526954286,0.8241088133140495,0.0,0.68
extractive,Extract answer,reranked_3,"Top 10, reranked, top 3 used",14.519717454910278,0.34435931797757535,0.18608680234284156,0.18608680234284156,0.7914278243255287,0.0,0.7200000000000001
citation,Request citations,top_3,Top 3 documents,18.205241680145264,0.2746461754173265,0.17792293600151862,0.17792293600151862,0.8199334075142886,0.0,0.68
citation,Request citations,top_5,Top 5 documents,7.1444480419158936,0.6998441266092787,0.16790642526954286,0.16790642526954286,0.8241088133140495,0.0,0.68
citation,Request citations,reranked_3,"Top 10, reranked, top 3 used",18.25265860557556,0.27393269704133244,0.18608680234284156,0.18608680234284156,0.7914278243255287,0.0,0.7200000000000001
