prompt_template,prompt_description,retrieval_config,retrieval_description,generation_time_sec,queries_per_second,metric_answer_precision,metric_answer_recall,metric_faithfulness,metric_citation_rate,metric_answer_correctness
basic,Basic prompt,top_3,Top 3 documents,21.278074741363525,0.23498366561708928,0.18916881368664556,0.18916881368664556,0.8199334075142886,0.0,0.68
basic,Basic prompt,top_5,Top 5 documents,22.681736707687378,0.22044167360012523,0.17696298999298782,0.17696298999298782,0.8241088133140495,0.0,0.68
basic,Basic prompt,reranked_3,"Top 10, reranked, top 3 used",33.47233963012695,0.14937706940269344,0.21414395836160244,0.21414395836160244,0.7914278243255287,0.0,0.7200000000000001
instructional,Detailed instructions,top_3,Top 3 documents,11.633695363998413,0.42978605194296043,0.18916881368664556,0.18916881368664556,0.8199334075142886,0.0,0.68
instructional,Detailed instructions,top_5,Top 5 documents,12.365436553955078,0.40435288945789405,0.17696298999298782,0.17696298999298782,0.8241088133140495,0.0,0.68
instructional,Detailed instructions,reranked_3,"Top 10, reranked, top 3 used",17.216820240020752,0.29041367280918845,0.21414395836160244,0.21414395836160244,0.7914278243255287,0.0,0.7200000000000001
extractive,Extract answer,top_3,Top 3 documents,28.815972089767456,0.17351488210857544,0.18916881368664556,0.18916881368664556,0.8199334075142886,0.0,0.68
extractive,Extract answer,top_5,Top 5 documents,15.78207802772522,0.31681506017244576,0.17696298999298782,0.17696298999298782,0.8241088133140495,0.0,0.68
extractive,Extract answer,reranked_3,"Top 10, reranked, top 3 used",28.439159631729126,0.175813915205201,0.21414395836160244,0.21414395836160244,0.7914278243255287,0.0,0.7200000000000001
citation,Request citations,top_3,Top 3 documents,16.829496383666992,0.29709742264495176,0.18916881368664556,0.18916881368664556,0.8199334075142886,0.0,0.68
citation,Request citations,top_5,Top 5 documents,13.19130825996399,0.37903746174859304,0.17696298999298782,0.17696298999298782,0.8241088133140495,0.0,0.68
citation,Request citations,reranked_3,"Top 10, reranked, top 3 used",16.993642330169678,0.2942276824976624,0.21414395836160244,0.21414395836160244,0.7914278243255287,0.0,0.7200000000000001
